"(PDH-TSV 4.0) (GTB Standard Time)(-120)"	"\\DESKTOP-AS6O85B\Processor(0)\% Processor Time"	"\\DESKTOP-AS6O85B\Processor(1)\% Processor Time"	"\\DESKTOP-AS6O85B\Processor(2)\% Processor Time"	"\\DESKTOP-AS6O85B\Processor(3)\% Processor Time"
"02/16/2016 16:28:23.356"	"23.586102107232065"	"12.669830979693785"	"14.229298283627834"	"15.788765587561871"
"02/16/2016 16:28:24.357"	"23.547690713374813"	"23.547690713374813"	"26.668193133237061"	"23.547690713374813"
"02/16/2016 16:28:25.359"	"14.261122683192118"	"15.820011361679532"	"22.055566075629194"	"14.261122683192118"
"02/16/2016 16:28:26.360"	"18.84059824018448"	"17.279840514034184"	"20.401355966334776"	"12.597567335583292"
"02/16/2016 16:28:27.363"	"14.31765345976217"	"17.433375152134456"	"17.433375152134456"	"9.6440709212037508"
"02/16/2016 16:28:28.349"	"8.0965588005062035"	"8.0965588005062035"	"11.265642979799095"	"11.265642979799095"
"02/16/2016 16:28:29.351"	"15.717415853516615"	"12.595838662906122"	"7.9134728769903795"	"4.7918956863798883"
"02/16/2016 16:28:30.353"	"12.737006290913877"	"8.0622030564985518"	"9.6204708013036608"	"9.6204708013036608"
"02/16/2016 16:28:31.355"	"14.232568240436038"	"6.4355289895665857"	"9.5543446899143731"	"11.113752540088262"
"02/16/2016 16:28:32.356"	"17.272609938894867"	"6.3463508742205965"	"11.029033330509574"	"6.3463508742205965"
"02/16/2016 16:28:33.357"	"12.605555010658131"	"9.484324832467351"	"9.484324832467351"	"9.484324832467351"
"02/16/2016 16:28:34.360"	"20.499310719670916"	"17.381636630246245"	"12.705125496109238"	"15.822799585533909"
"02/16/2016 16:28:35.362"	"17.339595144933316"	"6.4221831829433862"	"12.660704304080495"	"7.9818134632276605"
"02/16/2016 16:28:36.363"	"18.841157611770466"	"11.037422766748383"	"9.4766757977439724"	"11.037422766748383"
"02/16/2016 16:28:37.364"	"15.709955935412701"	"12.588102451539097"	"11.027175709602288"	"3.2225419999182825"
